"Familia";"Especie";"Uso";"Recurso"
ALSTROEMERIACEAE;Alstroemeria chapadensis;17. Unknown;;
CUCURBITACEAE;Apodanthera villosa;3. Medicine - human and veterinary;root;
APODANTHACEAE;Apodanthes minarum;17. Unknown;;
ARECACEAE;Attalea pindobassu;1. Food - human;seed;
ARECACEAE;Attalea pindobassu;2. Food - animal;seed;
ARECACEAE;Attalea pindobassu;7. Fuel;seed;
ARECACEAE;Attalea pindobassu;5. Manufacturing chemicals;seed;
POACEAE;Axonopus aureus;12. Handicrafts, jewellery, decorations, curios, etc.;whole plant;
POACEAE;Axonopus aureus;2. Food - animal;whole plant;
POACEAE;Axonopus grandifolius;17. Unknown;;
FABACEAE;Bauhinia candelabriformis;12. Handicrafts, jewellery, decorations, curios, etc.;whole plant;
FABACEAE;Bauhinia leptantha;3. Medicine - human and veterinary;;
CONVOLVULACEAE;Bonamia kuhlmannii;17. Unknown;;
VERBENACEAE;Bouchea fluminensis;3. Medicine - human and veterinary;;
SCROPHULARIACEAE;Buddleja speciosissima;17. Unknown;;
CYPERACEAE;Bulbostylis lombardii;12. Handicrafts, jewellery, decorations, curios, etc.;whole plant;
FABACEAE;Desmodium juruenense;2. Food - animal;leaf;
POACEAE;Dichanthelium aequivaginatum;17. Unknown;;
POACEAE;Digitaria pampinosa;17. Unknown;;
LYTHRACEAE;Diplusodon argenteus;16. Other;whole plant;
CONVOLVULACEAE;Evolvulus chapadensis;17. Unknown;;
CONVOLVULACEAE;Evolvulus gnaphalioides;17. Unknown;;
POACEAE;Guadua magna;9. Construction/structural materials;whole plant;
POACEAE;Guadua magna;7. Fuel;whole plant;
POACEAE;Guadua magna;6. Other chemicals;whole plant;
POACEAE;Mesosetum longiaristatum;17. Unknown;;
POACEAE;Ophiochloa bryoides;17. Unknown;;
LORANTHACEAE;Oryctina eubrachioides;17. Unknown;;
POACEAE;Otachyrium piligerum;17. Unknown;;
OCHNACEAE;Ouratea acicularis;17. Unknown;;
POACEAE;Panicum noterophilum;17. Unknown;;
POACEAE;Paspalum biaristatum;17. Unknown;;
POACEAE;Paspalum brachytrichum;17. Unknown;;
POACEAE;Paspalum longiaristatum;17. Unknown;;
POACEAE;Paspalum petrense;12. Handicrafts, jewellery, decorations, curios, etc.;whole plant;
ARACEAE;Philodendron rhizomatosum;12. Handicrafts, jewellery, decorations, curios, etc.;flower;
SANTALACEAE;Phoradendron virens;17. Unknown;;
FABACEAE;Poiretia bahiana;6. Other chemicals;leaf;
FABACEAE;Poiretia unifoliolata;6. Other chemicals;whole plant;
GENTIANACEAE;Prepusa montana;15. Sport hunting/specimen collecting;flower;
GENTIANACEAE;Prepusa montana;15. Sport hunting/specimen collecting;flower;
MYRTACEAE;Psidium firmum;1. Food - human;fruit;
APOCYNACEAE;Rauvolfia ligustrina;3. Medicine - human and veterinary;root;
APOCYNACEAE;Rauvolfia ligustrina;2. Food - animal;flower;
APOCYNACEAE;Rauvolfia ligustrina;1. Food - human;whole plant;
GENTIANACEAE;Schultesia bahiensis;17. Unknown;;
GENTIANACEAE;Schultesia crenuliflora;15. Sport hunting/specimen collecting;whole plant;
GENTIANACEAE;Schultesia irwiniana;17. Unknown;;
GENTIANACEAE;Schultesia pachyphylla;17. Unknown;;
GENTIANACEAE;Schultesia piresiana;17. Unknown;;
GENTIANACEAE;Schultesia sucreana;17. Unknown;;
POACEAE;Sporobolus hians;17. Unknown;;
LORANTHACEAE;Struthanthus microstylus;17. Unknown;;
LORANTHACEAE;Struthanthus pusillifolius;17. Unknown;;
XYRIDACEAE;Xyris diaphanobracteata;13. Pets/display animals, horticulture;flower;
XYRIDACEAE;Xyris paradisiaca;13. Pets/display animals, horticulture;flower;
XYRIDACEAE;Xyris picea;13. Pets/display animals, horticulture;flower;
XYRIDACEAE;Xyris rupicola;13. Pets/display animals, horticulture;flower;
XYRIDACEAE;Xyris spectabilis;13. Pets/display animals, horticulture;flower;
XYRIDACEAE;Xyris subsetigera;13. Pets/display animals, horticulture;flower;
XYRIDACEAE;Xyris veruina;15. Sport hunting/specimen collecting;flower;
XYRIDACEAE;Xyris vestita;13. Pets/display animals, horticulture;flower;
